Stockholm,Sodertalje,21
Sodertalje,Norrkoping,59
Sodertalje,Katrineholm,47
Norrkoping,Linkoping,24
Linkoping,Mjolby,16
Alvesta,Hassleholm,38
Hassleholm,Lund,30
Lund,Malmo,13
Varberg,Halmstad,29
Halmstad,Astorp,36
Astorp,Lund,36
Skovde,Herrljunga,35
Herrljunga,Goteborg,39
Skovde,Falkoping,16
Herrljunga,Falkoping,15
Falkoping,Jonkoping,45
Jonkoping,Nassjo,34
Norrkoping,Katrineholm,25
Katrineholm,Hallsberg,31
Hallsberg,Orebro,19
Hallsberg,Skovde,42
Orebro,Arboga,21
Arboga,Vasteras,28
Stockholm,Vasteras,90
Stockholm,Uppsala,51
Uppsala,Gavle,59
Gavle,Sundsvall,217
Uppsala,Sala,35
Avesta,Storvik,42
Storvik,Borlange,63
Gavle,Storvik,30
Avesta,Sala,19
Avesta,Borlange,48
Avesta,Fagersta,24
Fagersta,Frovi,50
Frovi,Orebro,21
Frovi,Ludvika,86
Fagersta,Ludv
